id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-19,2025-01-09,000001,Vente,64000,1082,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1469,,,25,24.2,,,,,,,,,1,3,Dépendance,,0,,,,,,6.010076,46.248988
2025-499,2025-01-22,000001,Vente,687100,186,,RUE DU CRET DE LA NEIGE,0040,01630,01401,Sergy,01,,,014010000B1465,,,1,,,,,,,,,,1,1,Maison,132,5,,,,,,5.998686,46.253796
2025-906,2025-01-16,000001,Vente,1000,164,,CHE DES EQUIMOCHES,0053,01630,01401,Sergy,01,,,014010000C2209,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.999609,46.249616
2025-958,2025-01-28,000001,Vente en l'état futur d'achèvement,263000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,13,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-958,2025-01-28,000001,Vente en l'état futur d'achèvement,263000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,4,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-958,2025-01-28,000001,Vente en l'état futur d'achèvement,263000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,25,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-1201,2025-01-23,000001,Vente en l'état futur d'achèvement,303000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,38,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-1201,2025-01-23,000001,Vente en l'état futur d'achèvement,303000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,9,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-1201,2025-01-23,000001,Vente en l'état futur d'achèvement,303000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,17,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-1345,2025-02-21,000001,Vente en l'état futur d'achèvement,575000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,40,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-1953,2025-03-12,000001,Vente,340000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2914,,,,,,,,,,,,,0,,,,,S,sols,,,332,5.997869,46.251538
2025-2136,2025-03-10,000001,Vente en l'état futur d'achèvement,372400,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,34,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-2136,2025-03-10,000001,Vente en l'état futur d'achèvement,372400,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,10,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-2136,2025-03-10,000001,Vente en l'état futur d'achèvement,372400,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,36,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-2136,2025-03-10,000001,Vente en l'état futur d'achèvement,372400,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,1,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-2180,2025-03-14,000001,Vente,245000,1082,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1469,,,17,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.010076,46.248988
2025-2180,2025-03-14,000001,Vente,245000,1082,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1469,,,9,70.41,,,,,,,,,1,3,Dépendance,,0,,,,,,6.010076,46.248988
2025-2180,2025-03-14,000001,Vente,245000,1082,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1469,,,9,70.41,,,,,,,,,1,3,Dépendance,,0,,,,,,6.010076,46.248988
2025-2180,2025-03-14,000001,Vente,245000,1082,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1469,,,9,70.41,,,,,,,,,1,2,Appartement,66,3,,,,,,6.010076,46.248988
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2946,,,,,,,,,,,,,0,,,,,S,sols,,,14,5.99794,46.252366
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2948,,,,,,,,,,,,,0,,,,,S,sols,,,3,5.997958,46.252334
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2951,,,,,,,,,,,,,0,,,,,S,sols,,,10,5.997992,46.252276
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2952,,,,,,,,,,,,,0,,,,,S,sols,,,749,5.996874,46.2524
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2954,,,,,,,,,,,,,0,,,,,S,sols,,,123,5.997849,46.252442
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2956,,,,,,,,,,,,,0,,,,,S,sols,,,324,5.997513,46.252589
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2959,,,,,,,,,,,,,0,,,,,S,sols,,,136,5.997248,46.252668
2025-2429,2025-03-14,000003,Vente,15300,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2960,,,,,,,,,,,,,0,,,,,S,sols,,,109,5.996727,46.252013
2025-2464,2025-03-11,000001,Vente,196550,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,7,41.05,,,,,,,,,1,3,Dépendance,,0,,,,,,5.993145,46.25504
2025-2464,2025-03-11,000001,Vente,196550,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,7,41.05,,,,,,,,,1,2,Appartement,42,2,,,,,,5.993145,46.25504
2025-2464,2025-03-11,000001,Vente,196550,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,18,16.2,,,,,,,,,1,3,Dépendance,,0,,,,,,5.993145,46.25504
2025-2464,2025-03-11,000001,Vente,196550,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,29,12.5,,,,,,,,,1,3,Dépendance,,0,,,,,,5.993145,46.25504
2025-2466,2025-03-14,000001,Vente,1,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2916,,,,,,,,,,,,,0,,,,,S,sols,,,11,5.998166,46.251335
2025-2531,2025-03-25,000001,Vente en l'état futur d'achèvement,629000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,41,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-2535,2025-03-26,000001,Vente,597500,162,,RTE DE THOIRY,0190,01630,01401,Sergy,01,,,014010000C2915,,,,,,,,,,,,,0,1,Maison,185,6,S,sols,,,367,5.998034,46.251414
2025-2535,2025-03-26,000001,Vente,597500,162,,RTE DE THOIRY,0190,01630,01401,Sergy,01,,,014010000C2915,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,367,5.998034,46.251414
2025-3185,2025-04-10,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,125,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-3185,2025-04-10,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,21,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-3185,2025-04-10,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,103,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-3185,2025-04-10,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,26,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-3773,2025-04-29,000001,Vente,412850,91,,CHE DE LA CROIX,0045,01630,01401,Sergy,01,,,014010000C2767,,,25,85.93,8,,,,,,,,2,2,Appartement,92,5,,,,,,5.998981,46.251021
2025-3773,2025-04-29,000001,Vente,412850,91,,CHE DE LA CROIX,0045,01630,01401,Sergy,01,,,014010000C2767,,,21,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.998981,46.251021
2025-3880,2025-04-10,000001,Vente,167000,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.993145,46.25504
2025-3880,2025-04-10,000001,Vente,167000,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,4,26.08,,,,,,,,,1,3,Dépendance,,0,,,,,,5.993145,46.25504
2025-3880,2025-04-10,000001,Vente,167000,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,16,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.993145,46.25504
2025-3880,2025-04-10,000001,Vente,167000,100,,RTE DE BAIZENAS,0005,01630,01401,Sergy,01,,,014010000B1576,,,4,26.08,,,,,,,,,1,2,Appartement,26,1,,,,,,5.993145,46.25504
2025-4447,2025-04-29,000001,Vente en l'état futur d'achèvement,4348578,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C0091,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1780,5.997243,46.251878
2025-4462,2025-05-02,000003,Echange,11600,,,LES EQUIMOCHES,B020,01630,01401,Sergy,01,,,014010000C2942,,,,,,,,,,,,,0,,,,,S,sols,,,58,5.997078,46.249043
2025-4462,2025-05-02,000004,Echange,11600,,,LES EQUIMOCHES,B020,01630,01401,Sergy,01,,,014010000C2944,,,,,,,,,,,,,0,,,,,S,sols,,,58,5.996929,46.248857
2025-4679,2025-05-24,000001,Echange,16875,4,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,35,,42,,,,,,,,2,3,Dépendance,,0,,,,,,5.990673,46.259753
2025-4679,2025-05-24,000001,Echange,16875,4,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,35,,42,,,,,,,,2,3,Dépendance,,0,,,,,,5.990673,46.259753
2025-4679,2025-05-24,000001,Echange,16875,4,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,35,,42,,,,,,,,2,2,Appartement,72,3,,,,,,5.990673,46.259753
2025-4732,2025-05-16,000001,Vente en l'état futur d'achèvement,591000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,18,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-4732,2025-05-16,000001,Vente en l'état futur d'achèvement,591000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,39,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-5371,2025-06-10,000001,Vente,1530316.8,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2863,,,,,,,,,,,,,0,,,,,P,prés,,,590,5.999198,46.250448
