code_commune|surface|type_local|etiquette_dpe|annee_construction|annee_mutation|prix_m2
01160|68|Appartement|D|1977|2025|2941
01313|77|Appartement|D||2025|4286
01160|84|Appartement|D|1970|2025|3976
01160|99|Appartement|F|1972|2025|1313
01160|45|Appartement|C|2020|2025|6867
01313|66|Appartement|C|2010|2025|5303
01354|74|Appartement|C|2014|2025|5321
01354|93|Appartement|C|2014|2025|5054
01281|59|Appartement|C||2025|5341
01354|99|Appartement|C|2014|2025|3753
01419|87|Appartement|C|2012|2025|4283
01160|40|Local industriel. commercial ou assimilé|C|2008|2025|2500
01071|120|Appartement|D||2025|4805
01071|48|Appartement|C|1994|2025|5312
01173|280|Appartement|C|1880|2025|3571
01419|61|Appartement|C|1989|2025|4344
01354|75|Appartement|F|1967|2025|3031
01173|45|Appartement|E|1989|2025|5556
01160|60|Appartement|F|1972|2025|3283
01281|100|Maison|D|1992|2025|6150
01160|73|Appartement|C|2000|2025|5082
01354|74|Appartement|C|2000|2025|4865
01281|89|Appartement|C|1985|2025|5393
01160|93|Appartement|C|2015|2025|5806
01160|71|Appartement|E|1968|2025|3239
01160|56|Appartement|D|1880|2025|4107
01160|84|Appartement|D|1985|2025|4226
01281|192|Local industriel. commercial ou assimilé|D|1949|2025|2604
01160|31|Appartement|D|1989|2025|5323
01173|59|Appartement|C|1985|2025|4153
01071|57|Appartement|C|1994|2025|4035
01173|68|Appartement|D||2025|4891
01313|85|Appartement|D|2017|2025|6412
01173|81|Appartement|C||2025|4432
01313|125|Appartement|D||2025|4672
01160|86|Appartement|E|1968|2025|4398
01160|40|Appartement|C|2020|2025|7125
01173|54|Appartement|C|2014|2025|3889
01173|64|Appartement|C|2016|2025|5203
01419|56|Appartement|D||2025|4639
01354|52|Appartement|D|2003|2025|5577
01313|189|Maison|D|1990|2025|5526
01354|44|Appartement|D|1976|2025|3864
01173|67|Appartement|C|2015|2025|4910
01354|180|Maison|D|2004|2025|4525
01160|70|Appartement|F|1979|2025|4114
01071|82|Appartement|C|2018|2025|4939
01354|88|Appartement|C|2015|2025|4347
01160|60|Appartement|C|2018|2025|5833
01160|106|Appartement|D|1985|2025|3708
01160|56|Appartement|F|1972|2025|3393
01354|65|Appartement|F|1980|2025|3308
01354|65|Appartement|F|1980|2025|3046
01160|47|Local industriel. commercial ou assimilé|D|2013|2025|1309
01071|55|Appartement|C|2018|2025|5400
01354|133|Appartement|C||2025|4626
01173|94|Local industriel. commercial ou assimilé|D|1992|2025|3255
01354|82|Appartement|D||2025|5061
01419|60|Appartement|D||2025|4417
01160|78|Appartement|C|2014|2025|5769
01160|57|Appartement|D|1989|2025|5526
01401|76|Appartement|C|2008|2025|4934
01173|28|Local industriel. commercial ou assimilé|C|2007|2025|3286
01354|45|Appartement|D||2025|4911
01173|45|Appartement|E|1989|2025|4799
01313|195|Appartement|E|1968|2025|2077
01160|73|Appartement|C|2000|2025|4521
01173|35|Local industriel. commercial ou assimilé|E|1973|2025|4857
01173|59|Appartement|C|2012|2025|4576
01354|39|Appartement|D|1976|2025|4615
01354|102|Maison|D|1984|2025|5328
01160|204|Appartement|C|1996|2025|3194
01281|59|Appartement|C|2013|2025|5932
01313|71|Appartement|C|2010|2025|5634
01160|107|Appartement|F|1972|2025|1729
01160|45|Appartement|F|1979|2025|3278
01354|47|Appartement|D|2004|2025|4894
01160|49|Appartement|E|1980|2025|4388
01354|72|Appartement|C|2018|2025|3715
01354|108|Maison|D|1984|2025|5285
01354|179|Local industriel. commercial ou assimilé|E|1975|2025|1006
01354|133|Appartement|C||2025|4586
01354|72|Appartement|C|2015|2025|5278
01419|56|Appartement|D||2025|4964
01281|116|Appartement|C|2009|2025|3776
01173|51|Appartement|E|1997|2025|4118
01160|71|Appartement|C|2006|2025|5029
